X,Y,id,CARRETERA,CENTRO,NOMBRE,MUNICIPIO,SALIDAS,ESQUEMA,FOTO,FECHA,icon_url
-16.2776509258161,28.4442244539654,"101",TF1,CM01,MERCATENERIFE,SANTA CRUZ DE TENERIFE,10 CIRCUITOS + 7 RESERVA + MARQUESINA MAR,,IMAGENES/TF1/TF1_CM01_MERCATENERIFE.jpg,2020/07/11,./0.png
-16.2911079370389,28.4316836846236,"102",TF1,CM02,HOYA FRIA,SANTA CRUZ DE TENERIFE,11 CIRCUITOS + 6 RESERVA + MARQUESINA MONTANA,,IMAGENES/TF1/TF1_CM02_HOYA_FRIA.jpg,2020/07/11,./0.png
-16.304091774864,28.4263403561286,"103",TF1,CM03,SANTA MARIA DEL MAR,SANTA CRUZ DE TENERIFE,12 CIRCUITOS  + 5 RESERVA + MARQUESINA MAR Y MONTANA,,IMAGENES/TF1/TF1_CM03_STA._MARIA_DEL_MAR.jpg,2020/07/11,./0.png
-16.3139402630631,28.4129626266932,"104",TF1,CM04,POLIGONO LA CAMPANA,SANTA CRUZ DE TENRIFE,10 CIRCUITOS + 7 RESERVA + 3 SALIDAS,,IMAGENES/TF1/TF1_CM04_LA_CAMPANA.jpg,2020/07/11,./0.png
-16.3313169992241,28.405288898516,"105",TF1,CM05,TABAIBA,EL ROSARIO,10 CIRCUITOS + 7 RESERVA + MARQUESINA MAR Y MONTANA,,IMAGENES/TF1/TF1_CM05_TABAIBA.jpg,2020/07/11,./0.png
-16.3429989038783,28.3950268001469,"106",TF1,CM06,BARRANCO HONDO,CANDELARIA,10 CIRCUITOS + 7 RESERVA + MARQUESINA MAR Y MONTANA,,IMAGENES/TF1/TF1_CM06_BARRANCO_HONDO.jpg,2020/07/11,./0.png
-16.3617365155072,28.3835331478907,"107",TF1,CM07,LAS CALETILLAS,CANDELARIA,11 CIRCUITOS + 4 RESERVA + MARQUESINA MAR Y MONTANA,,IMAGENES/TF1/TF1_CM07_LAS_CALETILLAS.jpg,2020/07/11,./0.png
-16.3680619733184,28.3706386364381,"108",TF1,CM08,PUNTALARGA,CANDELARIA,13 CIRCUITOS + 2 RESERVA,,IMAGENES/TF1/TF1_CM08_PUNTALARGA.jpg,2020/07/11,./0.png
-16.37050463166,28.3623989838298,"109",TF1,CM09,CANDELARIA,CANDELARIA,8 CIRCUITOS + 4 RESERVA + MARQUESINA,,IMAGENES/TF1/TF1_CM09_CANDELARIA.jpg,2020/07/11,./0.png
-16.3732185167356,28.3502303792868,"110",TF1,CM10,CEMENTERIO,CANDELARIA,11 CIRCUITOS + 2 RESERVA,,IMAGENES/TF1/TF1_CM10_CEMENTERIO.jpg,2020/07/11,./0.png
-16.3744875264723,28.3312835178946,"111",TF1,CM11,ARAFO,ARAFO,10 CIRCUITOS + 3 RESERVA,,IMAGENES/TF1/TF1_CM11_ARAFO.jpg,2020/07/11,./0.png
-16.5551740128848,28.071608223738,"114",TF1,CM14,SAN ISIDRO,GRANADILLA DE ABONA,4 CIRCUITOS,,IMAGENES/TF1/TF1_CM14_SAN_ISIDRO.jpg,2020/07/11,./0.png
-16.5624817539554,28.0686704367406,"115",TF1,CM15,LOS CARDONES,GRANADILLA DE ABONA,4 CIRCUITOS,,IMAGENES/TF1/TF1_CM15_LOS_CARDONES.jpg,2020/07/11,./0.png
-16.3076726658245,28.4754820689072,"1201",TF13,CM01,TUNEL ASTROFISICO,SAN CRISTOBAL DE LA LAGUNA,4 SOLEADO + 4 NUBLADO + 2 PERMANENTE,,IMAGENES/TF13/TF13_CM01_ASTROFISICO.jpg,2020/07/11,./0.png
-16.3071451616156,28.4770335118275,"1302",TF13,CM02,LA VERDELLADA,SAN CRISTOBAL DE LA LAGUNA,2 CIRCUITOS,,IMAGENES/TF13/TF13_CM02_LA_VERDELLADA.jpg,2020/07/11,./0.png
-16.3118436821131,28.4888367011676,"1303",TF13,CM03,ACCESO LA LAGUNA,SAN CRISTOBAL DE LA LAGUNA,4 CIRCUITOS,,IMAGENES/TF13/TF13_CM03_ACCESO_LA_LAGUNA.jpg,2020/07/11,./0.png
-16.3061642226351,28.502948293464,"1304",TF13,CM04,ROTONDA MANZANILLA,SAN CRISTOBAL DE LA LAGUNA,4 CIRCUITOS,,IMAGENES/TF13/TF13_CM04_ROTONDA_MANZANILLA.jpg,2020/07/11,./0.png
-16.3588786848261,28.5359222270113,"1305",TF13,CM05,VARIANTE,SAN CRISTOBAL DE LA LAGUNA,5 CIRCUITOS,,IMAGENES/TF13/TF13_CM05_VARIANTE.jpg,2020/07/11,./0.png
-16.3039302422369,28.4289361408401,"201",TF2,CM01,SANTA MARIA DEL MAR,SANTA CRUZ DE TENERIFE,4 CIRCUITOS,,IMAGENES/TF2/TF2_CM01_STA._MAR.jpg,2020/07/11,./0.png
-16.3042137633133,28.4396780483208,"202",TF2,CM02,ALVEMACA,SANTA CRUZ DE TENERIFE,5 CIRCUITOS,,IMAGENES/TF2/TF2_CM02_ALVEMACA.jpg,2020/07/11,./0.png
-16.3082232912601,28.4467410183398,"203",TF2,CM03,MUNECO DE NIEVE,SANTA CRUZ DE TENRIFE,2 NUBLADO + 2 SOLEADO + 6 PERMANENTE,,IMAGENES/TF2/TF2_CM03_MUNECO_NIEVE.jpg,2020/07/11,./0.png
-16.3067501521471,28.4572963353715,"204",TF2,CM04,LEROY MERLIN,SAN CRISTOBAL DE LA LAGUNA,5 CIRCUITOS,,IMAGENES/TF2/TF2_CM04_LEROY_MERLIN.jpg,2020/07/11,./0.png
-16.5215080915584,28.404776642084,"3101",TF31,CM01,LOS RECHAZOS,LA OROTAVA,4 CIRCUITOS,,IMAGENES/TF31/TF31_CM01_LOS_RECHAZOS.jpg,2020/03/11,./0.png
-16.5256071616848,28.4054496241262,"3102",TF31,CM02,GENERAL,LA OROTAVA,3 CIRCUITOS + 2 RESERVA,,IMAGENES/TF31/TF31_CM02_GENERAL.jpg,2020/07/11,./0.png
-16.2623755221834,28.4513089167233,"401",TF4,CM01,SANTA CRUZ,SANTA CRUZ DE TENERIFE,4 CIRCUITOS,,IMAGENES/TF4/TF4_CM01_STA._CRUZ.jpg,2020/07/12,./0.png
-16.269420351581,28.4483858334252,"402",TF4,CM02,TUNEL,SANTA CRUZ DE TENERIFE,4 CIRCUITOS,,IMAGENES/TF4/TF4_CM02_TUNEL.jpg,2020/07/12,./0.png
-16.2743113706231,28.4441327329515,"403",TF4,CM03,SUBIDA COSTA SUR,SANTA CRUZ DE TENERIFE,7 CIRCUITOS,,IMAGENES/TF4/TF4_CM03_SUBIDA_COSTA_SUR.jpg,2020/07/12,./0.png
-16.2773887934755,28.4425817824485,"404",TF4,CM04,ROTONDA COSTA SUR,SANTA CRUZ DE TENERIFE,3 CIRCUITOS,,IMAGENES/TF4/TF4_CM04_ROTONDA_COSTA_SUR.jpg,2020/07/12,./0.png
-16.2688103659907,28.4558457219982,"100",TF1,CM00,PANCHO CAMURRIA,SANTA CRUZ DE TENERIFE,2 PERMANENTE + 4 NUBLADO + 2 SOLEADO,,IMAGENES/TF1/TF1_CM00_PANCHO_CAMURRIA.jpg,2020/07/12,./0.png
-16.2696790957882,28.4546542565494,"501",TF5,CM01,BUENOS AIRES,SANTA CRUZ DE TENERIFE,3 CIRCUITOS + 3 RESERVA,,IMAGENES/TF5/TF5_CM01_BUENOS_AIRES.jpg,2020/07/12,./0.png
-16.2817321137564,28.4482626533284,"502",TF5,CM02,CARRIL DE FRENADO,SANTA CRUZ DE TENERIFE,6 CIRCUITOS,,IMAGENES/TF5/TF5_CM02_CARRIL_FRENADO.jpg,2020/07/12,./0.png
-16.2904708724176,28.4469443786188,"503",TF5,CM03,TACO,SANTA CRUZ DE TENERIFE,4 CIRCUITOS + 1 RESERVA,,IMAGENES/TF5/TF5_CM03_TACO.jpg,2020/07/12,./0.png
-16.2939402962589,28.4565090619169,"504",TF5,CM04,HOSPITAL,SAN CRISTOBAL DE LA LAGUNA,5 CIRCUITOS,,IMAGENES/TF5/TF5_CM04_HOSPITAL.jpg,2020/07/12,./0.png
-16.3016948891637,28.4641275304535,"505",TF5,CM05,LOS MAJUELOS,SAN CRISTOBAL DE LA LAGUNA,6 CIRCUITOS,,IMAGENES/TF5/TF5_CM05_LOS_MAJUELOS.jpg,2020/07/12,./0.png
-16.30275061297,28.466099279438,"506",TF5,CM06,LAS CHUMBERAS,SAN CRISTOBAL DE LA LAGUNA,2 CIRCUITOS,,IMAGENES/TF5/TF5_CM06_LAS_CHUMBERAS.jpg,2020/07/12,./0.png
-16.3096107929597,28.4727733573728,"507",TF5,CM07,GUAJARA,SAN CRISTOBAL DE LA LAGUNA,4 CIRCUITOS,,IMAGENES/TF5/TF5_CM07_GUAJARA.jpg,2020/07/12,./0.png
